Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
sdks,org.apache.beam.sdk.coders,RowCoder,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: RowCoderGenerator; Schema; FieldType; Field; RowCoder; Row; FieldValueGetterFactory; Builder; RowWithStorage; RowWithGetters; EncodeInstruction; DecodeInstruction
sdks,org.apache.beam.sdk.coders,SerializableCoderProviderRegistrar,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sdks,org.apache.beam.sdk.coders,ShardedKeyCoder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): StructuredCoder
sdks,org.apache.beam.sdk.coders,SnappyCoder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): StructuredCoder
sdks,org.apache.beam.sdk.coders,StructuredCoder,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: AtomicCoder; IterableLikeCoder; KvCoder; LengthPrefixCoder; MapCoder; NullableCoder; ShardedKeyCoder; SnappyCoder; VarLongCoder; NullBooleanCoder; ObjectIdentityBooleanCoder; Foo
sdks,org.apache.beam.sdk.coders,VarLongCoder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): StructuredCoder
sdks,org.apache.beam.sdk.coders,AvroCoderTest,Feature Envy,The tool detected a instance of this smell because testDefaultCoder is more interested in members of the type: TestPipeline
sdks,org.apache.beam.sdk.coders,AvroCoderTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: text; count; pipeline; intField; charField; intArray; utf8field; mapField; arrayField; mapField; someField; sortedMapField; nonDeterministicField; nonDeterministicMap; stringCollection; stringCollection; stringCollection; stringCollection; stringCollection; stringCollection; set; set; intField; cyclicField; cyclicField2; field1; field2; genericRecord; withCustomSchema; field; field; mapField; nullable; nullableNonDetArray; nullableNullableCyclicField; nullableCyclicField; onlySomeTypesAllowed; foo; id
sdks,org.apache.beam.sdk.coders,AvroCoderTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 49 public methods
sdks,org.apache.beam.sdk.coders,Pojo,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: text; count
sdks,org.apache.beam.sdk.coders,SimpleDeterministicClass,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: intField; charField; intArray; utf8field
sdks,org.apache.beam.sdk.coders,UnorderedMapClass,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mapField
