@relation 'Efforts-5-Levels'

@attribute Class-Count numeric
@attribute LOC numeric
@attribute Smells-Rank {'Very Low',Low,Medium,High,'Very High'}
@attribute Effort-Rank {'Very Low',Low,Medium,High,'Very High'}

@data
19,1097,Very Low,Low
7,444,Low,Low
9,292,Very Low,Low
9,671,Very Low,Low
20,794,Low,Very Low
11,970,Low,Low
50,1966,Very Low,Low
9,475,Very Low,Low
41,1316,Low,Low
6,150,Low,Low
32,2551,Very Low,Very Low
4,204,Medium,Medium
12,939,Medium,Medium
23,1681,Medium,Medium
8,993,Medium,Medium
22,953,Very Low,Medium
25,2228,Medium,Medium
36,1527,Very Low,Very Low
50,2814,Very Low,Medium
10,151,Medium,Medium
20,290,Medium,Medium
33,2977,Medium,Very Low
14,713,Medium,Medium
3,182,Medium,Medium
14,415,Medium,Medium
15,2757,Medium,Medium
45,3564,Medium,Medium
2,95,Medium,High
29,466,High,High
5,265,High,High
3,43,High,High
3,130,High,High
2,32,High,High
20,1386,High,High
5,116,High,High
4,123,High,High
3,168,High,High
1,8,High,High
1,8,High,High
10,865,High,High
3,185,High,Very High
16,878,Very High,Very High
21,995,Very High,Very Low
11,722,Very High,Very High
7,397,Very High,Very High
10,546,Very High,Very High
15,1007,Very High,Very High
21,1063,Very High,Very High
15,625,Very High,Very High
13,847,Very High,Very High
6,134,Very High,Very High
4,246,Very High,Very High
2,16,Very High,Very High
2,28,Very High,Very High
2,156,Very High,Very High
47,1606,Very Low,Very Low
11,147,Very Low,Very Low
9,275,Low,Very Low
14,387,Low,Very Low
32,1871,Low,Low
49,3084,Low,Low
37,1650,Low,Low
6,141,Low,Low
14,336,Low,Low
14,500,Very Low,Low
33,1670,Very Low,Low
8,288,Low,Low
19,1097,Very Low,Low
7,444,Low,Low
9,292,Very Low,Low
9,671,Very Low,Low
20,794,Low,Very Low
11,970,Low,Very Low
50,1966,Very Low,Low
9,475,Very Low,Medium
41,1316,Low,Medium
6,150,Low,Medium
32,2551,Very Low,Medium
4,204,Medium,Medium
12,939,Medium,Very Low
23,1681,Medium,Medium
8,993,Medium,Medium
22,953,Very Low,Medium
25,2228,Medium,Medium
36,1527,Very Low,Very Low
50,2814,Very Low,Medium
10,151,Medium,Medium
20,290,Medium,Medium
33,2977,Medium,Very Low
14,713,Medium,Medium
3,182,Medium,Medium
14,415,Medium,High
15,2757,Medium,Very Low
45,3564,Medium,High
2,95,Medium,High
29,466,High,High
5,265,High,High
3,43,High,High
3,130,High,High
2,32,High,High
20,1386,High,High
5,116,High,High
4,123,High,High
3,168,High,High
1,8,High,High
1,8,High,Very High
10,865,High,Very High
3,185,High,Very High
16,878,Very High,Very High
21,995,Very High,Very High
11,722,Very High,Very High
7,397,Very High,Very High
10,546,Very High,Very High
15,1007,Very High,Very Low
21,1063,Very High,Very High
15,625,Very High,Very High
13,847,Very High,Very Low
6,134,Very High,Very High
4,246,Very High,Very High
2,16,Very High,Very High
2,28,Very High,Very High
2,156,Very High,Very Low
32,3244,Low,Very Low
73,6660,Low,Very Low
184,19389,Very Low,Very Low
42,5398,Very Low,Very Low
30,3223,Very Low,Very Low
38,2538,Very Low,Very Low
15,1173,Low,Very Low
39,4062,Low,Low
40,4705,Low,Low
51,5510,Very Low,Low
264,17558,Very Low,Low
19,1782,Low,Low
13,2208,Very Low,Low
14,2080,Low,Very Low
45,3893,Very Low,Low
32,6532,Low,Low
45,4102,Very Low,Low
48,7438,Low,Low
15,1016,Low,Low
40,2588,Low,Low
31,4793,Very Low,Very Low
17,1165,Low,Low
8,611,Low,Low
20,2996,Low,Very Low
13,1855,Low,Low
20,4668,Very Low,Medium
48,6788,Very Low,Medium
7,326,Medium,Medium
134,8528,Medium,Medium
67,2880,Medium,Medium
21,2424,Medium,Very Low
38,2353,Medium,Very Low
49,5445,Very Low,Very Low
15,1423,Medium,Very Low
24,1677,Medium,Medium
8,80,Medium,Medium
9,2462,Medium,Medium
56,5868,Very Low,Medium
57,4921,Very Low,Medium
6,2423,Medium,Medium
161,1115,Medium,Medium
32,1634,Medium,Medium
37,2237,Medium,Very Low
4,568,Medium,Medium
1,20,Medium,Medium
1,142,High,High
3,423,High,High
10,411,High,High
1,10,High,High
23,1237,High,High
17,1052,High,High
3,633,High,High
2,121,High,High
1,102,High,High
5,1573,High,High
9,4132,High,High
13,770,High,High
3,176,High,High
4,218,High,High
2,80,High,High
2,71,Very High,Very High
21,1399,Very High,Very High
5,636,Very High,Very High
1,38,Very High,Very High
1,296,Very High,Very High
7,1406,Very High,Very High
1,100,Very High,Very High
11,839,Very High,Very High
17,753,Very High,Very High
1,38,Very High,Very High
1,24,Very High,Very High
28,1500,Very High,Very High
1,18,Very High,Very High
1,6,Very High,Very High
1,231,Very High,Very High
17,1537,Very High,Very High
32,3244,Low,Low
74,6804,Low,Low
191,19865,Very Low,Very Low
42,5398,Very Low,Low
33,3408,Very Low,Low
39,2562,Very Low,Low
16,1301,Low,Low
39,4063,Low,Low
40,4762,Low,Low
51,5514,Very Low,Very Low
271,18033,Very Low,Very Low
19,1788,Low,Very Low
13,2211,Very Low,Low
14,2172,Low,Low
45,3876,Very Low,Very Low
32,6529,Low,Low
45,4101,Very Low,Low
48,7427,Low,Low
15,1024,Low,Low
40,2621,Low,Very Low
31,4863,Very Low,Medium
17,1165,Low,Medium
8,615,Low,Medium
21,3265,Low,Very Low
13,1840,Low,Very Low
21,4630,Medium,Medium
51,6910,Very Low,Medium
7,335,Medium,Medium
135,8535,Medium,Very Low
67,2886,Medium,Medium
21,2494,Medium,Very Low
40,2608,Very Low,Very Low
52,5782,Very Low,Low
15,1434,Medium,Medium
24,1685,Medium,Medium
8,80,Medium,Medium
9,2462,Medium,Medium
56,5934,Very Low,Very Low
57,4915,Very Low,Very Low
6,2423,Medium,Medium
161,1115,Medium,Medium
32,1634,Medium,Medium
37,2241,Medium,Very Low
4,568,Medium,Medium
1,20,Medium,High
1,142,High,High
3,421,High,High
10,411,High,High
1,10,High,High
23,1237,High,High
17,1058,High,Very Low
3,633,High,High
2,121,High,High
1,102,High,High
5,1573,High,High
9,4126,High,High
13,770,High,High
3,176,High,High
4,218,High,High
2,80,High,High
2,71,Very High,Very High
24,1574,Very High,Very High
5,635,Very High,Very High
1,38,Very High,Very High
1,296,Very High,Very High
7,1397,Very High,Very High
1,100,Very High,Very High
11,841,Very High,Very High
17,753,Very High,Very High
1,38,Very High,Very High
1,24,Very High,Very High
28,1500,Very High,Very High
1,18,Very High,Very High
1,6,Very High,Very High
1,229,Very High,Very High
17,1535,Very High,Very High
32,3243,Very Low,Low
76,7161,Low,Very Low
197,21359,Very Low,Very Low
42,5425,Low,Very Low
34,3494,Very Low,Very Low
39,2561,Very Low,Low
17,1490,Low,Low
39,4063,Low,Low
6,250,Low,Low
40,4760,Low,Medium
57,6044,Very Low,Very Low
277,18245,Very Low,Very Low
20,1883,Very Low,Very Low
14,2244,Very Low,Medium
22,3246,Low,Medium
