zookeeper,3.4.0,3.1,68.2,4.6
zookeeper,3.5.1,4.2,34.3,12.3
zookeeper,3.5.0,3.4,62.8,5.5
zookeeper,3.4.3,0.2,4.5,5.4
zookeeper,3.3.5,0.9,9.9,9.1
zookeeper,3.4.4,0.7,3.5,21.5
zookeeper,3.4.12,3.4,17.4,19.7
zookeeper,3.4.5,1.3,6.7,19.7
zookeeper,3.4.7,0.2,2.8,7.4
zookeeper,3.4.9,0.1,4.1,3.5
