aurora,0.3.0,org.apache.aurora,7,3.60,13,6.73,53.85
aurora,0.3.0,org.apache.aurora.auth,6,3.10,12,6.21,50.00
aurora,0.3.0,org.apache.aurora.codec,5,2.60,9,4.66,55.56
aurora,0.3.0,org.apache.aurora.scheduler,202,104.50,238,123.15,84.87
aurora,0.3.0,org.apache.aurora.scheduler.app,89,46.10,99,51.23,89.90
aurora,0.3.0,org.apache.aurora.scheduler.async,306,158.30,338,174.89,90.53
aurora,0.3.0,org.apache.aurora.scheduler.base,33,17.10,53,27.42,62.26
aurora,0.3.0,org.apache.aurora.scheduler.configuration,55,28.50,65,33.63,84.62
aurora,0.3.0,org.apache.aurora.scheduler.cron,3,1.60,9,4.66,33.33
aurora,0.3.0,org.apache.aurora.scheduler.cron.noop,12,6.20,20,10.35,60.00
aurora,0.3.0,org.apache.aurora.scheduler.cron.testing,7,3.60,9,4.66,77.78
aurora,0.3.0,org.apache.aurora.scheduler.events,46,23.80,58,30.01,79.31
aurora,0.3.0,org.apache.aurora.scheduler.filter,84,43.50,94,48.64,89.36
aurora,0.3.0,org.apache.aurora.scheduler.http,176,91.10,236,122.12,74.58
aurora,0.3.0,org.apache.aurora.scheduler.local,34,17.60,38,19.66,89.47
aurora,0.3.0,org.apache.aurora.scheduler.log,1,0.50,3,1.55,33.33
aurora,0.3.0,org.apache.aurora.scheduler.log.mesos,36,18.60,70,36.22,51.43
aurora,0.3.0,org.apache.aurora.scheduler.log.testing,11,5.70,17,8.80,64.71
aurora,0.3.0,org.apache.aurora.scheduler.metadata,24,12.40,30,15.52,80.00
aurora,0.3.0,org.apache.aurora.scheduler.periodic,43,22.20,47,24.32,91.49
aurora,0.3.0,org.apache.aurora.scheduler.quota,78,40.40,94,48.64,82.98
aurora,0.3.0,org.apache.aurora.scheduler.state,378,195.60,453,234.40,83.44
aurora,0.3.0,org.apache.aurora.scheduler.stats,39,20.20,64,33.12,60.94
aurora,0.3.0,org.apache.aurora.scheduler.storage,83,42.90,126,65.20,65.87
aurora,0.3.0,org.apache.aurora.scheduler.storage.backup,92,47.60,104,53.81,88.46
aurora,0.3.0,org.apache.aurora.scheduler.storage.log,226,116.90,242,125.22,93.39
aurora,0.3.0,org.apache.aurora.scheduler.storage.log.testing,11,5.70,13,6.73,84.62
aurora,0.3.0,org.apache.aurora.scheduler.storage.mem,114,59.00,146,75.55,78.08
aurora,0.3.0,org.apache.aurora.scheduler.storage.testing,17,8.80,19,9.83,89.47
aurora,0.3.0,org.apache.aurora.scheduler.thrift,204,105.60,233,120.56,87.55
aurora,0.3.0,org.apache.aurora.scheduler.thrift.aop,103,53.30,155,80.20,66.45
aurora,0.3.0,org.apache.aurora.scheduler.thrift.auth,5,2.60,14,7.24,35.71
aurora,0.5.0,org.apache.aurora.scheduler,118,61.10,1001,517.96,11.79
aurora,0.5.0,org.apache.aurora.scheduler.async,354,183.20,2050,1060.75,17.27
aurora,0.5.0,org.apache.aurora.scheduler.state,151,78.10,4624,2392.64,3.27
aurora,0.5.0,org.apache.aurora.scheduler.storage,185,95.70,661,342.03,27.99
aurora,0.5.0,org.apache.aurora.scheduler.base,121,62.60,986,510.20,12.27
aurora,0.5.0,org.apache.aurora.scheduler.http,157,81.20,1628,842.39,9.64
aurora,0.5.0,org.apache.aurora.scheduler.thrift,453,234.40,1855,959.85,24.42
aurora,0.5.0,org.apache.aurora.scheduler.quota,234,121.10,481,248.89,48.65
aurora,0.5.0,org.apache.aurora.scheduler.configuration,22,11.40,225,116.42,9.78
aurora,0.5.0,org.apache.aurora.scheduler.storage.mem,34,17.60,699,361.69,4.86
aurora,0.5.0,org.apache.aurora.scheduler.filter,79,40.90,687,355.48,11.50
aurora,0.5.0,org.apache.aurora.scheduler.local,21,10.90,125,64.68,16.80
aurora,0.5.0,org.apache.aurora.scheduler.log.mesos,59,30.50,372,192.49,15.86
aurora,0.5.0,org.apache.aurora.scheduler.storage.log,527,272.70,995,514.85,52.96
aurora,0.5.0,org.apache.aurora.scheduler.storage.db,7,3.60,1608,832.04,0.44
aurora,0.6.0,org.apache.aurora.scheduler.thrift,590,305.30,2583,1336.55,22.84
aurora,0.6.0,org.apache.aurora.scheduler.storage,78,40.40,509,263.38,15.32
aurora,0.6.0,org.apache.aurora.scheduler.storage.db,445,230.30,2026,1048.33,21.96
aurora,0.6.0,org.apache.aurora.scheduler.storage.log,473,244.70,2388,1235.65,19.81
aurora,0.6.0,org.apache.aurora.scheduler.storage.mem,47,24.30,204,105.56,23.04
aurora,0.6.0,org.apache.aurora.scheduler.updater,87,45.00,5360,2773.48,1.62
aurora,0.6.0,org.apache.aurora.scheduler.state,194,100.40,1249,646.28,15.53
aurora,0.6.0,org.apache.aurora.scheduler.app,23,11.90,115,59.51,20.00
aurora,0.6.0,org.apache.aurora.scheduler,217,112.30,758,392.22,28.63
aurora,0.6.0,org.apache.aurora.scheduler.quota,596,308.40,1912,989.35,31.17
aurora,0.6.0,org.apache.aurora.scheduler.http,30,15.50,807,417.57,3.72
aurora,0.6.0,org.apache.aurora.scheduler.async,106,54.80,2018,1044.19,5.25
aurora,0.6.0,org.apache.aurora.scheduler.base,38,19.70,129,66.75,29.46
aurora,0.6.0,org.apache.aurora.codec,80,41.40,116,60.02,68.97
aurora,0.6.0,org.apache.aurora.scheduler.sla,44,22.80,165,85.38,26.67
aurora,0.6.0,org.apache.aurora.scheduler.testing,36,18.60,168,86.93,21.43
aurora,0.6.0,org.apache.aurora.scheduler.filter,159,82.30,580,300.12,27.41
aurora,0.6.0,org.apache.aurora.scheduler.mesos,11,5.70,989,511.75,1.11
aurora,0.6.0,org.apache.aurora.scheduler.async.preemptor,513,265.40,780,403.60,65.77
aurora,0.7.0,org.apache.aurora.scheduler.cron.quartz,12,6.20,72,37.26,16.67
aurora,0.7.0,org.apache.aurora.scheduler.thrift,72,37.30,455,235.44,15.82
aurora,0.7.0,org.apache.aurora.scheduler.configuration,33,17.10,131,67.78,25.19
aurora,0.7.0,org.apache.aurora.scheduler.mesos,67,34.70,481,248.89,13.93
aurora,0.7.0,org.apache.aurora.scheduler,95,49.20,100,51.74,95.00
aurora,0.7.0,org.apache.aurora.scheduler.updater,70,36.20,78,40.36,89.74
aurora,0.8.0,org.apache.aurora.scheduler.storage.db,66,34.20,852,440.86,7.75
aurora,0.8.0,org.apache.aurora.scheduler.updater,54,27.90,1378,713.03,3.92
aurora,0.8.0,org.apache.aurora.scheduler.thrift,1392,720.30,2296,1188.04,60.63
aurora,0.8.0,org.apache.aurora.scheduler.thrift.aop,137,70.90,457,236.47,29.98
aurora,0.8.0,org.apache.aurora.scheduler.async,93,48.10,719,372.04,12.93
aurora,0.8.0,org.apache.aurora.scheduler.state,30,15.50,305,157.82,9.84
aurora,0.8.0,org.apache.aurora.scheduler.filter,43,22.20,348,180.07,12.36
aurora,0.8.0,org.apache.aurora.scheduler.storage.mem,244,126.30,435,225.09,56.09
aurora,0.8.0,org.apache.aurora.scheduler.async.preemptor,1706,882.80,3567,1845.71,47.83
aurora,0.8.0,org.apache.aurora.scheduler.quota,63,32.60,494,255.62,12.75
aurora,0.8.0,org.apache.aurora.scheduler.base,40,20.70,329,170.24,12.16
aurora,0.9.0,org.apache.aurora.benchmark,119,61.60,358,185.24,33.24
aurora,0.9.0,org.apache.aurora.scheduler.storage.db,123,63.60,1890,977.96,6.51
aurora,0.9.0,org.apache.aurora.scheduler.storage.mem,23,11.90,119,61.58,19.33
aurora,0.9.0,org.apache.aurora.scheduler.storage,164,84.90,426,220.43,38.50
aurora,0.9.0,org.apache.aurora.scheduler.thrift,51,26.40,291,150.58,17.53
aurora,0.9.0,org.apache.aurora.scheduler.mesos,86,44.50,248,128.33,34.68
aurora,0.9.0,org.apache.aurora.scheduler.testing,12,6.20,16,8.28,75.00
aurora,0.9.0,org.apache.aurora.scheduler.http.api.security,107,55.40,312,161.44,34.29
aurora,0.9.0,org.apache.aurora.auth,26,13.50,230,119.01,11.30
aurora,0.9.0,org.apache.aurora.scheduler.base,5,2.60,64,33.12,7.81
aurora,0.9.0,org.apache.aurora.scheduler.configuration,2,1.00,28,14.49,7.14
aurora,0.9.0,org.apache.aurora.scheduler.offers,17,8.80,80,41.40,21.25
aurora,0.9.0,org.apache.aurora.scheduler.preemptor,30,15.50,31,16.04,96.77
aurora,0.9.0,org.apache.aurora.scheduler.pruning,12,6.20,122,63.13,9.84
aurora,0.9.0,org.apache.aurora.scheduler.reconciliation,19,9.80,137,70.89,13.87
aurora,0.9.0,org.apache.aurora.scheduler.scheduling,28,14.50,174,90.03,16.09
aurora,0.10.0,org.apache.aurora.scheduler.scheduling,178,92.10,290,150.06,61.38
aurora,0.10.0,org.apache.aurora.scheduler,277,143.30,1294,669.57,21.41
aurora,0.10.0,org.apache.aurora.scheduler.mesos,16,8.30,494,255.62,3.24
aurora,0.10.0,org.apache.aurora.scheduler.app,308,159.40,521,269.59,59.12
aurora,0.10.0,org.apache.aurora.scheduler.stats,8,4.10,238,123.15,3.36
aurora,0.10.0,org.apache.aurora.common.args,3297,1706.00,3455,1787.76,95.43
aurora,0.10.0,org.apache.aurora.common.args.apt,1204,623.00,1221,631.79,98.61
aurora,0.10.0,org.apache.aurora.common.application,604,312.50,668,345.65,90.42
aurora,0.10.0,org.apache.aurora.common.application.http,403,208.50,403,208.53,100.00
aurora,0.10.0,org.apache.aurora.common.application.modules,1263,653.50,1276,660.25,98.98
aurora,0.10.0,org.apache.aurora.common.args.constraints,471,243.70,781,404.12,60.31
aurora,0.10.0,org.apache.aurora.common.args.parsers,1205,623.50,1205,623.52,100.00
aurora,0.10.0,org.apache.aurora.common.base,2407,1245.50,2447,1266.18,98.37
aurora,0.10.0,org.apache.aurora.common.collections,1114,576.40,1114,576.43,100.00
aurora,0.10.0,org.apache.aurora.common.common.webassets.bootstrap,90,46.60,90,46.57,100.00
aurora,0.10.0,org.apache.aurora.common.common.webassets.jquery,36,18.60,36,18.63,100.00
aurora,0.10.0,org.apache.aurora.common.inject,825,426.90,825,426.89,100.00
aurora,0.10.0,org.apache.aurora.common.io,1297,671.10,1301,673.19,99.69
aurora,0.10.0,org.apache.aurora.common.logging,1647,852.20,1647,852.22,100.00
aurora,0.10.0,org.apache.aurora.common.logging.julbridge,645,333.70,645,333.75,100.00
aurora,0.10.0,org.apache.aurora.common.logging.log4j,98,50.70,98,50.71,100.00
aurora,0.10.0,org.apache.aurora.common.net,3567,1845.70,3567,1845.71,100.00
aurora,0.10.0,org.apache.aurora.common.net.http,679,351.30,679,351.34,100.00
aurora,0.10.0,org.apache.aurora.common.net.http.filters,613,317.20,613,317.19,100.00
aurora,0.10.0,org.apache.aurora.common.net.http.handlers,2603,1346.90,2776,1436.41,93.77
aurora,0.10.0,org.apache.aurora.common.net.loadbalancing,2330,1205.60,2330,1205.64,100.00
aurora,0.10.0,org.apache.aurora.common.net.monitoring,417,215.80,417,215.77,100.00
aurora,0.10.0,org.apache.aurora.common.net.pool,1658,857.90,1658,857.92,100.00
aurora,0.10.0,org.apache.aurora.common.objectsize,638,330.10,638,330.13,100.00
aurora,0.10.0,org.apache.aurora.common.quantity,358,185.20,474,245.27,75.53
aurora,0.10.0,org.apache.aurora.common.stats,6848,3543.40,6942,3592.07,98.65
aurora,0.10.0,org.apache.aurora.common.stats.testing,42,21.70,42,21.73,100.00
aurora,0.10.0,org.apache.aurora.common.testing,97,50.20,150,77.62,64.67
aurora,0.10.0,org.apache.aurora.common.testing.easymock,333,172.30,334,172.82,99.70
aurora,0.10.0,org.apache.aurora.common.testing.junit.rules,230,119.00,388,200.77,59.28
aurora,0.10.0,org.apache.aurora.common.testing.mockito,31,16.00,31,16.04,100.00
